OrderNr;ArticleAmount_[#];CostOfOrder_[€];SalesOfOrder_[€];CostOfTransport_[€];TotalMass_[kG];Distance_[kM];OriginWarehouse;Date;Time
1365;12;14,06;15,95;1,33;3,4;80; Den Haag ('s-Gravenhage);31-12-2021;12:30
1366;11;15,71;16,95;1,47;3,5;98; Rotterdam;31-12-2021;17:30
1367;8;10,44;11,95;1,01;2,8;71; Eindhoven;30-11-2021;12:30
1368;9;7,98;8,95;1,03;3,9;67; Rotterdam;31-12-2021;17:30
1369;7;10,3;11,95;0,74;3,3;53; Amsterdam;31-12-2021;8:30
1370;5;11,45;12,95;0,99;2,8;73; Den Haag ('s-Gravenhage);1-11-2021;12:30
1371;5;12,24;14,95;0,89;3,3;66; Den Haag ('s-Gravenhage);30-11-2021;8:30
1372;10;15,29;16,95;1,14;2,3;75; Tilburg;30-9-2021;12:30
1373;7;11,32;12,95;1,25;2,7;82; Rotterdam;30-11-2021;17:30
1374;11;20,15;21,95;0,96;2,8;60; Den Haag ('s-Gravenhage);30-11-2021;8:30
1375;8;10,15;11,95;1,36;3,1;93; Tilburg;31-12-2021;12:30
1376;12;9,78;11,95;1,05;3,5;67; Rotterdam;31-12-2021;17:30
1377;7;8,93;9,95;1,09;2,9;70; Den Haag ('s-Gravenhage);1-11-2021;17:30
1378;9;22,12;25,95;1,13;2,5;69; Amsterdam;1-11-2021;17:30
1379;10;12,23;13,95;1,13;2,2;73; Rotterdam;31-3-2021;17:30
1380;7;12,06;13,95;0,94;2,5;59; Den Haag ('s-Gravenhage);1-11-2021;8:30
1381;5;15,56;16,95;1,1;2,5;68; Den Haag ('s-Gravenhage);30-4-2021;8:30
1382;8;16,41;18,95;1,36;2,4;90; Groningen;31-5-2021;12:30
1383;6;16,56;19,95;0,83;2,5;56; Tilburg;31-3-2021;17:30
1384;3;11,08;12,95;0,93;3,3;57; Eindhoven;30-4-2021;12:30
1385;4;9,27;10,95;0,84;3,3;66; Utrecht;1-11-2021;8:30
1386;15;13,32;14,95;1,01;2,9;77; Den Haag ('s-Gravenhage);31-12-2021;12:30
1387;7;13,27;15,95;0,72;3;53; Amsterdam;31-12-2021;12:30
1388;7;10,35;11,95;0,86;1,9;65; Rotterdam;30-11-2021;17:30
1389;8;22,54;25,95;1,05;2,7;77; Den Haag ('s-Gravenhage);1-11-2021;17:30
1390;13;16,57;19,95;0,86;3,6;53; Eindhoven;1-11-2021;17:30
1391;8;15,52;16,95;1,03;3,3;63; Eindhoven;1-11-2021;8:30
1392;11;16,35;17,95;0,9;4,2;56; Den Haag ('s-Gravenhage);30-9-2021;12:30
1393;5;19,28;21,95;1,04;2,4;69; Den Haag ('s-Gravenhage);30-11-2021;8:30
1394;11;10,95;12,95;1,08;3,4;74; Rotterdam;1-11-2021;17:30
1395;11;19,95;22,95;1,37;3,3;86; Den Haag ('s-Gravenhage);31-8-2021;17:30
1396;5;16,42;18,95;0,94;3,5;72; Amsterdam;30-11-2021;12:30
1397;9;7,98;8,95;0,8;2,4;52; Nijmegen;31-12-2021;12:30
1398;4;17,42;20,95;1,24;2,4;89; Groningen;31-12-2021;12:30
1399;10;19,04;21,95;0,56;3,1;44; Eindhoven;31-12-2021;12:30
1400;7;16,13;18,95;0,84;2,7;51; Eindhoven;31-12-2021;12:30
1401;13;10,04;11,95;0,96;2,2;61; Utrecht;30-4-2021;8:30
1402;7;9,18;9,95;1,08;2,3;72; Rotterdam;1-11-2021;17:30
1403;8;16,56;19,95;1,05;3;66; Den Haag ('s-Gravenhage);30-11-2021;8:30
1404;7;9,97;10,95;1,16;2,8;89; Rotterdam;30-4-2021;8:30
1405;8;8,17;8,95;0,99;2,6;66; Breda;30-4-2021;12:30
1406;10;11,17;12,95;1,02;3,1;64; Eindhoven;31-7-2021;12:30
1407;10;7,67;8,95;1,21;3,5;82; Den Haag ('s-Gravenhage);30-11-2021;12:30
1408;5;9,46;10,95;0,8;2,8;52; Den Haag ('s-Gravenhage);31-12-2021;8:30
1409;10;12,76;14,95;0,88;3,8;54; Groningen;30-11-2021;12:30
1410;3;15,34;16,95;1,22;2,8;73; Amsterdam;31-12-2021;12:30
1411;9;15,79;17,95;0,83;2,3;56; Groningen;30-4-2021;8:30
1412;10;16,86;19,95;1,22;3,1;84; Den Haag ('s-Gravenhage);31-12-2021;12:30
1413;15;20,8;22,95;0,98;3,2;66; Den Haag ('s-Gravenhage);30-11-2021;17:30
1414;10;17,08;18,95;1,56;3,3;96; Tilburg;30-6-2021;17:30
1415;11;9,55;10,95;0,83;2,9;58; Groningen;31-12-2021;8:30
1416;11;16,62;18,95;1;3,4;74; Utrecht;1-11-2021;12:30
1417;4;18,84;21,95;1,12;2,8;88; Rotterdam;30-11-2021;12:30
1418;9;14,67;16,95;0,94;2,8;56; Tilburg;1-3-2021;8:30
1419;10;17,68;19,95;0,97;3,3;60; Groningen;30-4-2021;8:30
1420;7;12,64;14,95;0,97;3,3;64; Eindhoven;31-12-2021;17:30
1421;4;9,99;10,95;1,28;1,9;87; Rotterdam;31-3-2021;17:30
1422;6;17,04;18,95;1,11;2,3;76; Tilburg;30-11-2021;17:30
1423;14;15,79;17,95;0,95;2,4;67; Eindhoven;31-12-2021;17:30
1424;5;12,63;14,95;1,08;3,2;65; Rotterdam;31-12-2021;12:30
1425;7;20;21,95;1,55;3,2;95; Groningen;31-12-2021;17:30
1426;6;12,94;14,95;0,81;2,9;52; Den Haag ('s-Gravenhage);31-12-2021;17:30
1427;6;10,46;11,95;1,09;2,6;73; Eindhoven;31-12-2021;17:30
1428;8;14,6;16,95;0,91;2,2;64; Den Haag ('s-Gravenhage);30-4-2021;17:30
1429;7;13,8;15,95;1,35;3;88; Eindhoven;30-9-2021;12:30
1430;10;8,5;9,95;1,1;3,1;66; Den Haag ('s-Gravenhage);1-3-2021;12:30
1431;10;11,04;12,95;0,74;3,1;52; Den Haag ('s-Gravenhage);31-12-2021;17:30
1432;10;9,37;10,95;0,97;2,8;71; Eindhoven;31-12-2021;17:30
1433;9;14,74;16,95;0,96;2;72; Tilburg;30-11-2021;8:30
1434;7;10,12;11,95;0,98;2,4;67; Eindhoven;31-12-2021;8:30
1435;6;13,04;14,95;1,39;3,9;96; Den Haag ('s-Gravenhage);31-12-2021;17:30
1436;4;8,78;10,95;0,88;3,6;64; Utrecht;31-12-2021;17:30
1437;13;13,6;15,95;0,92;3,1;57; Tilburg;1-11-2021;8:30
1438;11;24,55;27,95;1,01;3,6;75; Groningen;1-11-2021;17:30
1439;9;20,54;23,95;0,79;2;57; Den Haag ('s-Gravenhage);31-12-2021;8:30
1440;6;9,99;11,95;1,17;3,2;76; Den Haag ('s-Gravenhage);31-12-2021;17:30
1441;13;10,38;11,95;1,03;2;62; Utrecht;1-11-2021;17:30
1442;12;12,18;13,95;0,97;2;68; Den Haag ('s-Gravenhage);30-4-2021;17:30
1443;10;15,96;17,95;1,18;3;80; Breda;30-4-2021;17:30
1444;11;21,8;23,95;1,43;3,2;89; Eindhoven;30-11-2021;8:30
1445;3;21,9;24,95;1,34;2,2;88; Den Haag ('s-Gravenhage);30-6-2021;17:30
1446;11;9,13;10,95;0,93;2,8;69; Nijmegen;1-11-2021;12:30
1447;11;21,77;23,95;0,79;2;53; Eindhoven;30-11-2021;8:30
1448;10;15,88;18,95;0,81;3;57; Den Haag ('s-Gravenhage);1-11-2021;17:30
1449;7;15,56;17,95;0,9;1,5;58; Eindhoven;31-12-2021;12:30
1450;6;13,88;15,95;0,94;2,2;71; Rotterdam;31-7-2021;17:30
1451;6;12,29;13,95;1,22;3,3;75; Eindhoven;31-12-2021;8:30
1452;8;12,54;14,95;1,37;2,2;91; Nijmegen;1-2-2021;12:30
1453;7;12,5;14,95;0,72;2,9;53; Tilburg;31-12-2021;12:30
1454;9;19,51;21,95;0,63;2,9;46; Tilburg;31-3-2021;17:30
1455;11;13,54;15,95;0,82;2,8;64; Den Haag ('s-Gravenhage);31-3-2021;8:30
1456;12;18,58;20,95;0,98;1,8;74; Den Haag ('s-Gravenhage);31-12-2021;12:30
1457;8;13,67;15,95;1,16;2,2;84; Eindhoven;31-3-2021;12:30
1458;5;12,77;14,95;0,9;3;64; Den Haag ('s-Gravenhage);31-12-2021;12:30
1459;7;13,14;14,95;0,89;2,9;60; Eindhoven;30-11-2021;8:30
1460;13;9,42;10,95;1,03;2,6;65; Utrecht;30-11-2021;8:30
1461;9;11,53;12,95;1,08;2,4;65; Amsterdam;31-12-2021;12:30
1462;12;13,88;14,95;0,85;3;54; Utrecht;31-8-2021;8:30
1463;3;20,8;23,95;1,13;2,7;79; Den Haag ('s-Gravenhage);30-11-2021;8:30
1464;12;14,4;15,95;1,23;3,4;87; Utrecht;31-5-2021;8:30
1465;10;9,77;10,95;0,88;2,1;57; Den Haag ('s-Gravenhage);30-9-2021;17:30
1466;6;16,6;18,95;1,06;3,1;68; Amsterdam;30-6-2021;12:30
1467;11;12,49;13,95;1,5;3;92; Utrecht;31-12-2021;8:30
1468;6;15,79;17,95;0,93;3,7;64; Den Haag ('s-Gravenhage);31-12-2021;8:30
1469;11;16,86;18,95;1,19;1,7;81; Den Haag ('s-Gravenhage);30-4-2021;17:30
1470;9;20,82;22,95;0,51;2;39; Den Haag ('s-Gravenhage);30-9-2021;17:30
1471;8;18,3;20,95;1,14;2,7;72; Utrecht;1-11-2021;8:30
1472;6;17,13;19,95;0,93;2,2;61; Den Haag ('s-Gravenhage);1-11-2021;17:30
1473;9;10,59;11,95;1,06;2,4;66; Groningen;30-11-2021;17:30
1474;11;9,47;10,95;1,09;2,9;70; Amsterdam;30-4-2021;8:30
1475;5;11,83;13,95;0,81;2,8;60; Den Haag ('s-Gravenhage);30-4-2021;12:30
1476;11;9,01;10,95;1,26;2,6;75; Tilburg;31-12-2021;17:30
1477;5;22,33;24,95;0,77;3;54; Den Haag ('s-Gravenhage);31-8-2021;12:30
1478;6;17,68;19,95;1,09;3,1;78; Rotterdam;31-3-2021;17:30
1479;9;18,47;20,95;0,81;3,1;51; Den Haag ('s-Gravenhage);30-4-2021;12:30
1480;9;14,4;15,95;1,15;2,4;73; Amsterdam;1-2-2021;8:30
1481;11;7,89;8,95;0,73;3,3;45; Groningen;30-11-2021;17:30
1482;10;16,99;19,95;0,99;2,3;76; Groningen;31-8-2021;8:30
1483;7;6,24;6,95;1,24;1,6;80; Groningen;30-9-2021;12:30
1484;10;19,78;22,95;0,87;3,1;61; Rotterdam;30-4-2021;12:30
1485;6;17,68;19,95;1,12;2,9;71; Den Haag ('s-Gravenhage);30-9-2021;12:30
1486;10;8,17;9,95;1,29;2,7;88; Den Haag ('s-Gravenhage);1-11-2021;17:30
1487;9;15,34;16,95;1,32;2,2;91; Amsterdam;30-11-2021;17:30
1488;10;11,5;12,95;0,75;2,4;59; Eindhoven;30-9-2021;17:30
1489;7;13,27;14,95;1,29;2,4;78; Den Haag ('s-Gravenhage);31-3-2021;17:30
1490;10;10,68;12,95;1;2,9;62; Rotterdam;31-5-2021;12:30
1491;7;18,75;20,95;1,05;3;71; Groningen;1-2-2021;17:30
1492;3;12,6;14,95;1,34;2,4;85; Utrecht;31-12-2021;12:30
1493;14;16,58;18,95;0,98;3,1;76; Groningen;30-11-2021;12:30
1494;5;11,71;12,95;0,98;2,6;65; Groningen;30-4-2021;12:30
1495;11;13,86;15,95;1,39;3,9;86; Den Haag ('s-Gravenhage);31-12-2021;12:30
1496;8;6,97;7,95;0,96;2,3;58; Den Haag ('s-Gravenhage);30-11-2021;8:30
1497;7;16,53;18,95;0,95;1,9;74; Tilburg;31-12-2021;8:30
1498;8;13,46;15,95;0,68;2,5;49; Den Haag ('s-Gravenhage);30-11-2021;12:30
1499;10;21,3;23,95;1,05;2,8;75; Utrecht;30-11-2021;8:30
1500;5;10,47;11,95;1,24;2,2;75; Den Haag ('s-Gravenhage);31-12-2021;12:30
1501;3;19,35;21,95;1,25;1,8;79; Eindhoven;1-11-2021;17:30
1502;7;7,49;8,95;1,21;2,9;84; Den Haag ('s-Gravenhage);30-11-2021;8:30
1503;10;14,3;15,95;1,02;3,1;75; Breda;31-8-2021;12:30
1504;9;13,38;15,95;1,05;3,3;75; Den Haag ('s-Gravenhage);30-11-2021;12:30
1505;11;13,67;15,95;0,67;2,8;44; Amsterdam;31-8-2021;12:30
1506;11;22,39;25,95;1,22;2,1;86; Rotterdam;31-12-2021;12:30
1507;6;10,35;11,95;1,17;2,6;73; Eindhoven;31-12-2021;17:30
1508;11;14,29;15,95;1,06;2,6;78; Den Haag ('s-Gravenhage);1-3-2021;12:30
1509;12;8,01;9,95;1,04;4;78; Rotterdam;30-11-2021;8:30
1510;10;22,56;25,95;1,19;3,6;76; Den Haag ('s-Gravenhage);31-8-2021;12:30
1511;10;13,42;15,95;1,16;2,1;78; Utrecht;31-8-2021;8:30
1512;9;16,31;17,95;0,95;3,5;66; Den Haag ('s-Gravenhage);30-11-2021;17:30
1513;8;19,15;21,95;1,19;2,9;86; Den Haag ('s-Gravenhage);1-11-2021;8:30
1514;6;18,93;20,95;1,52;3,1;93; Den Haag ('s-Gravenhage);30-6-2021;12:30
1515;7;8,15;8,95;0,83;1,7;59; Den Haag ('s-Gravenhage);31-12-2021;17:30
1516;10;20,96;23,95;0,94;3,2;60; Utrecht;31-12-2021;8:30
1517;6;11,06;12,95;0,88;3,4;54; Den Haag ('s-Gravenhage);1-11-2021;12:30
1518;8;17,56;20,95;1,19;3;73; Breda;31-12-2021;17:30
1519;11;16,06;17,95;0,96;2,9;75; Amsterdam;1-11-2021;8:30
1520;7;14,99;17,95;1,29;3,4;81; Rotterdam;30-4-2021;8:30
1521;9;23,57;25,95;1,19;2,4;77; Den Haag ('s-Gravenhage);31-8-2021;17:30
1522;12;18,82;20,95;0,8;3,2;52; Rotterdam;31-12-2021;12:30
1523;6;25,15;27,95;0,62;2,5;45; Eindhoven;31-3-2021;8:30
1524;6;8,71;9,95;0,73;2,3;57; Eindhoven;30-11-2021;17:30
1525;8;17,96;20,95;1,14;2,4;84; Utrecht;31-7-2021;12:30
1526;7;20,4;23,95;1,18;2,8;89; Utrecht;31-12-2021;8:30
1527;4;18,15;20,95;0,84;2,5;64; Rotterdam;1-11-2021;12:30
1528;4;13,51;14,95;0,76;3,2;52; Tilburg;1-3-2021;12:30
1529;8;26,77;29,95;1,1;3,2;71; Tilburg;30-4-2021;17:30
1530;10;18,89;20,95;1,18;2,7;90; Eindhoven;30-11-2021;8:30
1531;7;11,1;12,95;0,97;3,1;64; Rotterdam;30-9-2021;12:30
1532;5;20,17;22,95;1,46;1,9;90; Groningen;1-3-2021;12:30
1533;8;13,75;15,95;0,81;2,7;59; Den Haag ('s-Gravenhage);31-12-2021;12:30
1534;6;11,62;13,95;0,77;2;60; Utrecht;30-11-2021;8:30
1535;7;9,73;10,95;1,44;2,6;86; Amsterdam;30-4-2021;17:30
1536;7;11,95;13,95;1,12;2,9;68; Rotterdam;31-3-2021;17:30
1537;9;8,97;9,95;1,04;2,8;73; Den Haag ('s-Gravenhage);30-11-2021;8:30
1538;8;14,24;15,95;0,94;3,1;65; Rotterdam;30-11-2021;17:30
1539;8;13,67;15,95;1,04;2,8;65; Den Haag ('s-Gravenhage);30-4-2021;12:30
1540;8;17,75;20,95;0,93;3,1;62; Rotterdam;31-8-2021;17:30
1541;5;10,83;12,95;0,89;2,7;64; Groningen;31-12-2021;8:30
1542;6;11,46;12,95;0,63;2,4;45; Utrecht;30-4-2021;12:30
1543;9;17,17;19,95;1,16;2,5;91; Den Haag ('s-Gravenhage);31-12-2021;12:30
1544;15;16,71;18,95;0,91;2,8;57; Amsterdam;31-3-2021;12:30
1545;9;19,22;21,95;0,78;1,6;54; Utrecht;1-3-2021;8:30
1546;8;11,82;13,95;1,29;2,7;89; Utrecht;1-3-2021;8:30
1547;7;17,08;19,95;1,06;2,6;73; Rotterdam;1-11-2021;17:30
1548;14;8,65;9,95;0,73;3,2;44; Rotterdam;31-3-2021;17:30
1549;10;16,21;17,95;1,1;2,5;68; Nijmegen;31-12-2021;12:30
1550;14;14,02;15,95;1,1;3,7;67; Den Haag ('s-Gravenhage);31-12-2021;8:30
1551;7;13,47;15,95;1,23;2,2;74; Rotterdam;1-11-2021;8:30
1552;9;10,73;12,95;1,35;2,3;92; Utrecht;30-9-2021;8:30
1553;13;14,52;16,95;1,05;4;79; Groningen;1-11-2021;12:30
1554;5;16,22;18,95;1,02;3,4;73; Rotterdam;31-12-2021;12:30
1555;10;11,6;12,95;0,98;2,3;74; Tilburg;30-9-2021;8:30
1556;4;18;20,95;1,44;2,8;90; Den Haag ('s-Gravenhage);31-8-2021;17:30
1557;7;20,38;22,95;0,69;2,6;48; Den Haag ('s-Gravenhage);1-2-2021;8:30
1558;8;17,19;18,95;1,2;2,3;87; Eindhoven;1-11-2021;8:30
1559;9;15,39;17,95;1,06;2,2;83; Den Haag ('s-Gravenhage);1-3-2021;8:30
1560;10;8,03;8,95;0,96;3,3;73; Amsterdam;30-6-2021;8:30
1561;5;15,94;17,95;0,62;2,8;48; Rotterdam;30-4-2021;17:30
1562;10;14,89;17,95;0,77;2,8;55; Groningen;30-11-2021;17:30
1563;9;16,81;18,95;1,06;2,9;70; Groningen;30-9-2021;17:30
1564;5;16,81;19,95;0,8;3,1;52; Rotterdam;30-11-2021;17:30
1565;11;19,78;21,95;0,97;2,7;76; Utrecht;31-3-2021;17:30
1566;9;10,08;11,95;0,87;3,3;55; Nijmegen;30-11-2021;12:30
1567;7;12,26;13,95;1,05;2,3;71; Tilburg;1-11-2021;12:30
1568;9;21,22;22,95;1,02;2,7;67; Utrecht;31-12-2021;8:30
1569;10;19,15;21,95;0,67;2,7;52; Rotterdam;31-12-2021;12:30
1570;7;8,75;9,95;1,01;3,3;67; Amsterdam;30-4-2021;12:30
1571;11;23,45;25,95;0,9;3,1;64; Amsterdam;31-7-2021;8:30
1572;5;15,62;17,95;0,64;2,7;50; Eindhoven;1-11-2021;8:30
1573;12;17,48;19,95;0,94;3;71; Amsterdam;1-11-2021;17:30
1574;10;18,73;20,95;1,09;3,4;73; Utrecht;31-12-2021;8:30
1575;9;18,54;21,95;0,93;2,9;61; Eindhoven;1-3-2021;12:30
1576;4;7,78;8,95;1,24;2,1;74; Groningen;31-5-2021;12:30
1577;10;19,71;22,95;0,53;2,1;39; Den Haag ('s-Gravenhage);30-4-2021;8:30
1578;10;11,37;12,95;1,17;3;73; Den Haag ('s-Gravenhage);31-8-2021;17:30
1579;7;10,58;11,95;1,13;2,9;68; Rotterdam;31-8-2021;12:30
1580;7;12,18;13,95;0,84;2,1;55; Rotterdam;31-12-2021;17:30
1581;9;16,81;19,95;0,68;3,1;43; Amsterdam;30-4-2021;8:30
1582;12;8,49;9,95;0,77;2,9;51; Den Haag ('s-Gravenhage);31-5-2021;12:30
1583;13;18,75;21,95;1,07;3,2;74; Eindhoven;30-9-2021;8:30
1584;9;9,35;10,95;0,9;3,6;55; Groningen;31-12-2021;17:30
1585;7;9,8;10,95;1,51;1,9;90; Groningen;30-11-2021;8:30
1586;11;15,26;17,95;0,83;2,8;65; Utrecht;1-2-2021;8:30
1587;9;15,81;17,95;1,42;2,6;87; Rotterdam;30-11-2021;17:30
1588;7;24,11;27,95;1,4;2,2;86; Eindhoven;31-12-2021;17:30
1589;5;19,32;21,95;1,12;3,3;72; Groningen;1-11-2021;17:30
1590;13;9,27;10,95;1,09;3,5;71; Eindhoven;1-11-2021;12:30
1591;9;12,59;13,95;1,17;3,6;75; Amsterdam;31-12-2021;17:30
1592;9;16,13;17,95;1,51;2,4;95; Utrecht;31-7-2021;8:30
1593;11;14,29;16,95;1,28;3,8;77; Den Haag ('s-Gravenhage);31-12-2021;8:30
1594;10;11,41;12,95;1,11;2,9;87; Rotterdam;30-11-2021;17:30
1595;12;12,75;13,95;1,17;2,4;76; Utrecht;31-12-2021;12:30
1596;10;16,44;18,95;1,17;2;73; Den Haag ('s-Gravenhage);1-11-2021;12:30
1597;12;20,76;23,95;1,07;2,5;77; Rotterdam;1-11-2021;17:30
1598;13;12,75;14,95;0,83;2,6;61; Eindhoven;30-11-2021;8:30
1599;7;15,82;17,95;1,22;2,6;83; Amsterdam;31-8-2021;12:30
1600;8;19,64;21,95;1,28;2,6;99; Utrecht;30-11-2021;12:30
1601;7;12,02;12,95;0,99;2,9;66; Den Haag ('s-Gravenhage);30-4-2021;17:30
1602;10;17,33;18,95;0,65;2,5;51; Rotterdam;31-12-2021;12:30
1603;10;12,36;13,95;0,74;2,6;54; Den Haag ('s-Gravenhage);30-11-2021;12:30
1604;7;20,38;22,95;0,83;2,6;61; Den Haag ('s-Gravenhage);1-3-2021;12:30
1605;9;12;13,95;0,94;2,4;60; Groningen;30-4-2021;12:30
1606;6;11,39;12,95;0,84;2,1;56; Eindhoven;1-11-2021;17:30
1607;6;22,54;25,95;0,74;3,4;52; Den Haag ('s-Gravenhage);30-11-2021;17:30
1608;9;20,35;22,95;1,1;2,9;73; Eindhoven;30-4-2021;12:30
1609;9;10,72;12,95;1,12;3,1;75; Den Haag ('s-Gravenhage);31-12-2021;17:30
1610;6;8,98;9,95;1;2,6;61; Eindhoven;31-8-2021;12:30
1611;8;11,15;12,95;0,91;2,9;63; Den Haag ('s-Gravenhage);30-9-2021;17:30
1612;10;17,76;19,95;0,84;4;62; Rotterdam;1-11-2021;17:30
1613;9;24,01;27,95;1,14;3,3;80; Groningen;30-11-2021;17:30
1614;3;15,3;17,95;1,36;2,8;83; Tilburg;30-4-2021;8:30
1615;6;18,13;20,95;1,13;1,8;70; Rotterdam;1-11-2021;17:30
1616;10;13,27;14,95;1,09;1,4;69; Rotterdam;1-11-2021;12:30
1617;5;18,77;21,95;0,71;3,1;55; Den Haag ('s-Gravenhage);30-4-2021;17:30
1618;7;18,75;20,95;0,75;1,7;55; Den Haag ('s-Gravenhage);1-3-2021;8:30
1619;10;13,24;14,95;1,1;2,5;82; Den Haag ('s-Gravenhage);31-12-2021;17:30
1620;12;11,37;12,95;1,27;3;81; Tilburg;30-6-2021;8:30
1621;8;13,13;14,95;0,73;3,3;53; Rotterdam;30-11-2021;12:30
1622;7;12,65;13,95;1,04;2,1;69; Groningen;30-4-2021;12:30
1623;7;17,63;19,95;1,2;2,4;87; Rotterdam;30-11-2021;17:30
1624;9;12,77;13,95;0,67;3,1;51; Eindhoven;31-12-2021;12:30
1625;8;9,28;10,95;1,02;2,4;64; Utrecht;1-11-2021;17:30
1626;10;11,17;12,95;1,15;2,6;81; Rotterdam;1-3-2021;12:30
1627;6;12,05;13,95;1;3,2;66; Rotterdam;31-8-2021;12:30
1628;5;16,39;17,95;0,97;3,1;69; Rotterdam;31-12-2021;8:30
1629;6;14,74;16,95;0,9;2,1;67; Groningen;30-11-2021;17:30
1630;4;14,87;16,95;0,95;3,5;65; Eindhoven;31-3-2021;12:30
1631;11;15,33;17,95;0,87;2,3;67; Tilburg;1-11-2021;12:30
1632;7;13,44;15,95;1,01;2,4;68; Utrecht;31-7-2021;12:30
1633;11;15,34;17,95;0,91;3,4;69; Den Haag ('s-Gravenhage);30-6-2021;17:30
1634;5;17,2;19,95;1;2,2;63; Utrecht;30-11-2021;8:30
1635;10;18,75;21,95;0,67;3,1;49; Groningen;1-11-2021;12:30
1636;9;11,77;13,95;0,76;2,8;56; Tilburg;31-12-2021;12:30
1637;12;13,02;14,95;0,89;3,3;56; Eindhoven;31-12-2021;8:30
1638;6;13,45;14,95;1,14;2,5;86; Eindhoven;31-3-2021;17:30
1639;9;13,54;14,95;1,1;2,9;79; Rotterdam;30-9-2021;12:30
1640;7;11,5;12,95;1,02;3;65; Den Haag ('s-Gravenhage);30-11-2021;17:30
1641;6;16,4;18,95;0,65;3,2;46; Rotterdam;31-12-2021;17:30
1642;10;15,77;17,95;1,36;2,7;98; Amsterdam;31-12-2021;8:30
1643;6;13,52;14,95;1,21;2,3;87; Utrecht;31-12-2021;12:30
1644;7;20,8;22,95;0,71;2,6;52; Tilburg;30-11-2021;17:30
1645;9;16,62;17,95;1,44;2,5;87; Den Haag ('s-Gravenhage);31-3-2021;8:30
1646;9;20,31;23,95;0,64;1,8;41; Tilburg;31-12-2021;17:30
1647;8;16,82;18,95;1,38;2,4;86; Utrecht;1-3-2021;8:30
1648;7;11,12;12,95;0,79;2,7;62; Groningen;31-12-2021;8:30
1649;9;12,84;14,95;0,97;3,1;68; Den Haag ('s-Gravenhage);31-12-2021;8:30
1650;7;10,3;11,95;0,76;2,9;59; Den Haag ('s-Gravenhage);1-2-2021;17:30
1651;9;16,53;18,95;1,06;2,6;82; Utrecht;30-11-2021;8:30
1652;5;11,41;13,95;1,11;2,7;76; Amsterdam;31-5-2021;8:30
1653;11;10,77;12,95;1,33;2,5;83; Den Haag ('s-Gravenhage);31-12-2021;8:30
1654;5;15,49;17,95;0,67;2,7;49; Eindhoven;1-11-2021;12:30
1655;5;13,03;14,95;1,48;2,6;92; Den Haag ('s-Gravenhage);1-11-2021;17:30
1656;8;12,41;14,95;0,95;3,7;62; Den Haag ('s-Gravenhage);31-8-2021;12:30
1657;6;15,77;17,95;1,05;2,6;71; Rotterdam;30-9-2021;17:30
1658;10;16,91;18,95;1,25;2,6;76; Utrecht;31-12-2021;12:30
1659;9;12,23;13,95;0,98;2,4;73; Tilburg;30-4-2021;12:30
1660;10;21,03;23,95;1,1;2,6;86; Den Haag ('s-Gravenhage);31-12-2021;8:30
1661;8;14,73;16,95;0,8;2,6;57; Amsterdam;30-11-2021;8:30
1662;6;22,77;25,95;0,63;3,9;42; Nijmegen;30-11-2021;12:30
1663;7;20,18;21,95;1,28;3,1;84; Den Haag ('s-Gravenhage);31-3-2021;8:30
1664;9;13,05;14,95;1,37;2,1;94; Eindhoven;31-12-2021;8:30
1665;6;8,74;9,95;1,2;2,7;88; Den Haag ('s-Gravenhage);31-12-2021;17:30
1666;11;11,41;12,95;1,28;2,9;77; Den Haag ('s-Gravenhage);30-4-2021;17:30
1667;8;16,65;18,95;0,8;2,8;57; Den Haag ('s-Gravenhage);1-2-2021;17:30
1668;12;14,64;15,95;1,11;3,3;70; Amsterdam;1-2-2021;8:30
1669;9;14,59;16,95;1,33;3,3;81; Den Haag ('s-Gravenhage);1-11-2021;8:30
1670;8;17,77;20,95;0,98;2,8;64; Den Haag ('s-Gravenhage);30-11-2021;17:30
1671;6;17,6;19,95;0,98;3;61; Tilburg;31-12-2021;8:30
1672;11;9,37;10,95;0,96;2;63; Groningen;31-3-2021;12:30
1673;13;18,63;20,95;1,05;2,5;76; Amsterdam;31-12-2021;8:30
1674;9;10,12;11,95;1,12;2,6;84; Rotterdam;30-9-2021;12:30
1675;6;16,71;18,95;1,3;2,2;87; Breda;30-11-2021;12:30
1676;13;8,54;9,95;1,09;2,9;84; Eindhoven;31-12-2021;17:30
1677;7;20,56;23,95;1,28;3;85; Tilburg;31-3-2021;8:30
1678;9;18,75;20,95;1,06;2,3;65; Eindhoven;31-12-2021;8:30
1679;9;14,03;15,95;1,09;2,8;73; Breda;30-11-2021;12:30
1680;10;12,29;13,95;1,21;2,7;81; Rotterdam;30-11-2021;12:30
1681;12;12,7;14,95;0,87;3,2;58; Den Haag ('s-Gravenhage);1-11-2021;12:30
1682;8;15,37;17,95;1,15;2,4;75; Tilburg;31-12-2021;12:30
1683;9;17,37;19,95;1,23;3,5;86; Groningen;31-12-2021;17:30
1684;8;16,31;18,95;1,33;2,8;85; Den Haag ('s-Gravenhage);1-11-2021;17:30
1685;4;14,03;16,95;0,97;3;68; Breda;31-12-2021;8:30
1686;8;12,64;13,95;0,97;1,9;67; Rotterdam;31-12-2021;17:30
1687;5;19,11;21,95;1,09;3;67; Utrecht;1-11-2021;8:30
